공연코드,공연명,포스터,공연시작일,공연종료일,공연장명,공연지역,예매링크,공연형태,조회수,아티스트
,윤하 콘서트,https://ticketimage.interpark.com/Play/image/large/22/22014800_p.gif,2022.12.02,2022.12.04,올림픽공원 올림픽홀,서울,https://tickets.interpark.com/goods/22014800,국내,,"	윤하"
,김호중 콘서트 - 일산,https://ticketimage.interpark.com/Play/image/large/22/22015425_p.gif,2022.12.03,2022.12.04,일산 킨텍스(KINTEX) 제1전시장 1홀,경기,https://tickets.interpark.com/goods/22015425,국내,,김호중
,2022 Theatre 이문세 - 고양,https://ticketimage.interpark.com/Play/image/large/22/22008291_p.gif,2022.12.03,2022.12.10,고양아람누리 아람극장,경기,https://tickets.interpark.com/goods/22008291,국내,,이문세
,이무진 콘서트 - 대구,https://ticketimage.interpark.com/Play/image/large/22/22014517_p.gif,2022.12.03,2022.12.04,천마아트센터,경북,https://tickets.interpark.com/goods/22014892,국내,,이무진
,진주 국제페스티벌,https://ticketimage.interpark.com/Play/image/large/22/22014975_p.gif,2022.12.08,2022.12.09,경남문화예술회관 대공연장,경남,https://tickets.interpark.com/goods/22014975,국내,,"나윤선
최백호
알리"
,지오디 콘서트,https://ticketimage.interpark.com/Play/image/large/22/22014710_p.gif,2022.12.09,2022.12.11,올림픽공원 체조경기장 (KSPO DOME),서울,https://tickets.interpark.com/goods/22014710,국내,,god
,자우림 콘서트 (MERRY SPOOKY X-MAS),https://ticketimage.interpark.com/Play/image/large/22/22014872_p.gif,2022.12.09,2022.12.11,올림픽공원 SK올림픽핸드볼경기장 (구 펜싱경기장),서울,https://tickets.interpark.com/goods/22014872,국내,,자우림
,임재범 콘서트 - 부산,https://ticketimage.interpark.com/Play/image/large/22/22013971_p.gif,2022.12.10,2022.12.10,부산 벡스코(BEXCO),부산,https://tickets.interpark.com/goods/22013971,국내,,"	임재범"
,장민호 콘서트,https://ticketimage.interpark.com/Play/image/large/22/22015710_p.gif,2022.12.10,2022.12.11,KBS부산홀,부산,https://tickets.interpark.com/goods/22015710,국내,,장민호
,"정동하, 소향 콘서트 - 평택 (THE GREATEST)",https://ticketimage.interpark.com/Play/image/large/22/22014054_p.gif,2022.12.10,2022.12.10,이충문화체육센터,경기,https://tickets.interpark.com/goods/22014054,국내,,"정동하
소향"
,10cm 콘서트,https://ticketimage.interpark.com/Play/image/large/22/22015956_p.gif,2022.12.16,2022.12.18,올림픽공원 SK올림픽핸드볼경기장 (구 펜싱경기장),서울,https://tickets.interpark.com/goods/22015956,국내,,10cm
,송가인 콘서트 ,https://ticketimage.interpark.com/Play/image/large/22/22014064_p.gif,2022.12.17,2022.12.18,경희대학교 평화의전당,서울,https://tickets.interpark.com/goods/22014064,국내,,송가인
,크러쉬 콘서트,https://ticketimage.interpark.com/Play/image/large/22/22015069_p.gif,2022.12.23, 2022.12.25,올림픽공원 SK올림픽핸드볼경기장 (구 펜싱경기장),서울,https://tickets.interpark.com/goods/22015069,국내,,크러쉬
,국민가수 6인의 산타 콘서트,https://ticketimage.interpark.com/Play/image/large/22/22016740_p.gif,2022.12.23,2022.12.25,대학로 굿씨어터,서울,https://tickets.interpark.com/goods/22016740,국내,,"김동현
손진욱
조연호
하동연
김희석
김영흠"
,2022 THE CRY X-MAS - 수원,https://ticketimage.interpark.com/Play/image/large/22/22016347_p.gif,2022.12.24,2022.12.25,수원 컨벤션센터,경기,https://tickets.interpark.com/goods/22016347,페스티벌,,"지코
사이먼 도미닉
로꼬
그레이
우원재
기리보이
키드밀리
한요한
JUSTHIS
루피
쿠기
다운
박재범
더콰이엇
팔로알토
염따
pH-1
릴보이
비오
애쉬 아일랜드"
,포르테 디 콰트로 콘서트 - 부산,https://ticketimage.interpark.com/Play/image/large/22/22015878_p.gif,2022.12.24,2022.12.24,벡스코 오디토리움,부산,https://tickets.interpark.com/goods/22015878,국내,,포르테 디 콰트로
,포레스텔라 콘서트,https://ticketimage.interpark.com/Play/image/large/22/22016316_p.gif,2022.12.24,2022.12.25,엑스코 서관 5층 컨벤션홀,대구,https://tickets.interpark.com/goods/22016316,국내,,포레스텔라
,"허각, 2F 콘서트",https://ticketimage.interpark.com/Play/image/large/22/22016282_p.gif,2022.12.24,2022.12.25,성신여대 운정그린캠퍼스 대강당,서울,https://tickets.interpark.com/goods/22016282,국내,,"허각
2F"
,정동원 콘서트 - 일산 (2nd JEONG DONG WON’S CHRISTMAS CONCERT),https://ticketimage.interpark.com/Play/image/large/22/22015044_p.gif,2022.12.24,2022.12.25,일산 킨텍스 제 1전시장 1홀,경기,https://tickets.interpark.com/goods/22015044,국내,,정동원
,전동석 콘서트,https://ticketimage.interpark.com/Play/image/large/22/22016321_p.gif,2022.12.29,2022.12.30,롯데콘서트홀,서울,https://tickets.interpark.com/goods/22016321,국내,,전동석
,비투비 콘서트,https://ticketimage.interpark.com/Play/image/large/22/22015350_p.gif,2022.12.30,2023.01.01,올림픽공원 체조경기장 (KSPO DOME),서울,https://tickets.interpark.com/goods/22015350,국내,,비투비
,씨아이엑스 콘서트,https://ticketimage.interpark.com/Play/image/large/22/22016274_p.gif,2022.12.30,2022.12.31,블루스퀘어 마스터카드홀,서울,https://tickets.interpark.com/goods/22016274,국내,,씨아이엑스
,제주신화월드 카운트다운 2023 제주 (JSW COUNTDOWN 2023),https://ticketimage.interpark.com/Play/image/large/22/22016273_p.gif,2022.12.30,2022.12.31,제주신화월드 야외주차장,제주,https://tickets.interpark.com/goods/22016273,페스티벌,,"윤미래
다이나믹 듀오
타이거 JK
홍록기
바다
비지
노라조
코요태
이재훈
반달락
비비"
,2022 뮤직 페스티벌 (RIDE THE BEAT),https://ticketimage.interpark.com/Play/image/large/22/22016563_p.gif,2022.12.30,2022.12.31,장충체육관,서울,https://tickets.interpark.com/goods/22014517,페스티벌,,"지코
JUSTHIS
송민호
식케이
애쉬 아일랜드
언에듀케이티드 키드
PH-1
다운
릴러말즈
호미들
빅나티"
,"딕펑스, 데이브레이크 콘서트 (Winter Wonderland)",https://ticketimage.interpark.com/Play/image/large/22/22014892_p.gif,2022.12.31,2022.12.31,연세대학교 백양콘서트홀(구. 백주년기념관),서울,https://tickets.interpark.com/goods/22016563,국내,,"딕펑스
데이브레이크"
,라이트 업 페스티벌 (2023 LIGHT UP FESTIVAL),https://ticketimage.interpark.com/Play/image/large/22/22013785_p.gif,2023.02.18,2023.02.18,KBS아레나 (구88체육관),서울,https://tickets.interpark.com/goods/22013785,페스티벌,,"이센스
JUSTHIS
애쉬 아일랜드
더콰이엇
팔로알토
빅나티
릴러말즈
스키니 브라운
래원
재하
99'네스티키즈
태비"
,해리 스타일스 내한공연,https://ticketimage.interpark.com/Play/image/large/22/22016203_p.gif,2023.03.20,2023.03.20,올림픽공원 체조경기장 (KSPO DOME),서울,https://tickets.interpark.com/goods/22016203,내한,,해리 스타일스
,박혜원 콘서트 First of all,https://ticketimage.interpark.com/Play/image/large/22/22015278_p.gif,"	2022.12.10",2022.12.11,블루스퀘어 마스터카드홀,서울,https://tickets.interpark.com/goods/22015278,국내,,흰
,페퍼톤스 콘서트 THOUSAND UMBRELLAS,https://ticketimage.interpark.com/Play/image/large/22/22015132_p.gif,"	2022.12.16",2022.12.18,예스24 라이브홀 (구 악스코리아),서울,https://tickets.interpark.com/goods/22015132,국내,,"	페퍼톤스"
,나이트위시 내한공연 Nightwish Live in Seoul,https://ticketimage.interpark.com/Play/image/large/22/22016390_p.gif,"	2023.01.23",2023.01.23,"	KBS아레나 (구88체육관)",서울,https://tickets.interpark.com/goods/22016390,내한,,나이트위시
,카더가든 콘서트 Home Sweet Home,https://ticketimage.interpark.com/Play/image/large/22/22015085_p.gif,2022.12.02,2022.12.04,블루스퀘어 마스터카드홀,서울,https://tickets.interpark.com/goods/22015085,국내,,"카더가든	"
,장윤정 콘서트 - 안동,https://ticketimage.interpark.com/Play/image/large/22/22013875_p.gif,2022.12.03,2022.12.03,안동실내체육관,경북,https://tickets.interpark.com/goods/22013875,국내,,장윤정
,정은지 콘서트 Travelog,https://ticketimage.interpark.com/Play/image/large/22/22016130_p.gif,2022.12.10,2022.12.11,코엑스 신한카드 아티움,서울,https://tickets.interpark.com/goods/22016130,국내,,"	정은지"
,이석훈 콘서트 휴(休),https://ticketimage.interpark.com/Play/image/large/22/22015072_p.gif,2022.12.10,2022.12.11,장충체육관,서울,https://tickets.interpark.com/goods/22015072,국내,,이석훈
,멜로망스 콘서트 - 부산Festival,https://ticketimage.interpark.com/Play/image/large/22/22014878_p.gif,2022.12.17,2022.12.18,벡스코 오디토리움,부산,https://tickets.interpark.com/goods/22014878,국내,,멜로망스
,성시경 콘서트,https://ticketimage.interpark.com/Play/image/large/22/22014627_p.gif,2022.12.23,2022.12.25,잠실실내체육관,서울,https://tickets.interpark.com/goods/22014627,국내,,성시경
,터치드 콘서트 HIGHLIGHT 2022,"	https://ticketimage.interpark.com/Play/image/large/22/22016554_p.gif",2022.12.24,2022.12.25,"	예스24 라이브홀 (구 악스코리아)",서울,https://tickets.interpark.com/goods/22016554,국내,,터치드
,"넬 콘서트 Goodbye, Hello in NELL’S ROOM",https://ticketimage.interpark.com/Play/image/large/22/22015770_p.gif,2022.12.30,2023.01.01,서울 잠실 학생체육관,서울,https://tickets.interpark.com/goods/22015770,국내,,"	넬"
,박창근 콘서트,https://ticketimage.interpark.com/Play/image/large/22/22016768_p.gif,2022.12.31,2022.12.31,"	경희대학교 국제캠퍼스 선승관",경기,https://tickets.interpark.com/goods/22016768,국내,,박창근
,"마이클 볼튼 내한공연 Encore, 'Michael Bolton Live in Seoul'",https://ticketimage.interpark.com/Play/image/large/22/22016588_p.gif,2023.01.14,2023.01.15,고척스카이돔,서울,https://tickets.interpark.com/goods/22016588,내한,,"	마이클 볼튼"
